,Date,IPO_Name,Issue Size,Subscription_QIB,Subscription_HNI,Subscription_RII,Total_Subscription,Issue Price,Listing Open,Listing Close,Listing Gain Percent
177,2022-05-09,Le Merite Exports Ltd.,48,,2.9,9.9,6.4,74.99,75,78.8,5
428,2011-02-10,Omkar Special,79.38,0.82,5.27,9.9,4.67,98,95,46.2,-52.86
153,2022-11-21,Archean Chemical Industries Ltd.,1462.3,48.9,14.9,9.9,32.2,407,450,458.1,12.6
92,2023-12-20,India Shelter Finance Corporation Ltd.,1200,89.7,28.5,9.9,36.7,493,620,544.7,10.5
462,2010-07-16,Technofab Engg,71.76,4.28,48.85,10.03,12.78,240,265,295.65,23.19
179,2022-04-07,Uma Exports Ltd.,60,2.8,2.2,10.1,7.7,68,80,84,23.5
478,2010-03-11,Man Infra,142,96.06,104.57,10.26,62.53,252,335,69.65,-72.36
110,2023-10-03,JSW Infrastructure Ltd.,2800,57.1,16,10.3,37.4,119,143,157.3,32.2
74,2024-02-14,Rashi Peripherals Ltd.,600,143.7,62.8,10.4,59.7,311,339.5,321.5,3.4
474,2010-04-05,Pradip Overseas,116.6,8.57,45.35,10.53,14.08,110,120,89.29,-18.83
199,2021-11-26,Tarsons Products Ltd.,1023.5,115.8,184.6,10.6,77.5,662,700,840,26.9
354,2016-02-12,TeamLease Ser.,273.68,26.97,185.24,10.61,66.02,850,860,1021.95,20.23
325,2017-05-19,HUDCO,1224,55.45,330.36,10.79,79.53,58,76.5,72.5,25
180,2022-04-07,Veranda Learning Solutions Ltd.,200,2,3.9,10.8,3.5,137,171,160.4,17.1
18,2024-10-15,Garuda Construction and Engineering Ltd.,264.1,1.2,9,10.8,7.5,95,105,106.8,12.4
26,2024-09-16,Kross Ltd.,500,23.3,22.2,10.8,16.8,240,240,259.8,8.3
15,2024-10-28,Waaree Energies Ltd.,4321.4,208.6,62.5,10.8,76.3,1503,2500,2338.9,55.6
239,2021-03-24,Anupam Rasayan India Ltd.,760,65.7,97.4,10.8,44.1,555,534.7,525.9,-5.2
271,2019-08-08,Affle (India) Ltd.,459,55.3,198.7,10.9,86.5,745,929.9,873.6,17.3
126,2023-08-16,SBFC Finance Ltd.,1025,192.9,49.1,11,70.2,57,82,92.2,61.8
453,2010-10-05,Sasta Sundar,147.5,5.91,35.88,11.04,12.2,118,135.1,110.9,-6.02
489,2010-02-03,Infinite Comp,189.8,48.44,106.02,11.08,43.22,165,178.35,184.51,11.82
0,2024-12-20,International Gemmological Institute India Ltd.,4225,45.8,24.8,11.2,33.8,417,510,471.1,13
227,2021-07-05,India Pesticides Ltd.,800,43,51.9,11.3,29,296,360,343.1,15.9
229,2021-06-28,Dodla Dairy Ltd.,520.2,84.9,73.3,11.3,45.6,428,550,609.1,42.3
231,2021-06-24,Shyam Metalics and Energy Ltd.,909,155.7,340,11.6,121.4,306,380,375.9,22.8
294,2018-01-30,Amber Enterpris,600,174.99,519.26,11.65,165.42,859,1175,1237.25,44.03
344,2016-08-01,Advanced Enzyme,60,94.03,393.1,11.67,116.02,896,1210,235.66,-73.7
242,2021-03-09,Heranba Industries Ltd.,625,67.5,271.1,11.8,83.3,627,900,812.3,29.6
339,2016-09-27,GNA Axles,130.41,17.18,217.47,11.84,54.88,207,252,233.45,12.78
451,2010-10-06,Eros Intl,350,25.79,73.4,11.95,26.51,175,213.55,190.05,8.6
178,2022-04-13,Hariom Pipe Industries Ltd.,130.1,1.9,8.9,12.2,7.9,153,214,224.7,46.9
207,2021-11-10,FSN E-commerce Ventures Ltd.,5351.9,91.2,112,12.2,81.8,1125,2001,2206.7,96.2
454,2010-10-01,Tirupati Inks,51.5,1.78,23.18,12.59,8.77,43,53.95,36.65,-14.77
225,2021-07-19,G R Infraprojects Ltd.,963.3,168.6,238,12.6,102.6,837,1700,1746.8,108.7
193,2021-12-20,Shriram Properties Ltd.,600,1.9,4.8,12.7,4.6,118,94,99.4,-15.8
260,2020-09-21,Route Mobile Ltd.,600,89.8,192.8,12.7,73.3,350,708,651.1,86
94,2023-12-01,Flair Writing Industries Ltd.,593,115.6,33.4,13,46.7,304,501,450.9,48.3
233,2021-04-07,Barbeque-Nation Hospitality Ltd.,452.9,5.1,3.1,13.1,6,500,492,590.4,18.1
212,2021-09-14,Ami Organics Ltd.,569.6,86.6,154.8,13.4,64.5,610,902,934.5,53.2
471,2010-04-12,Intrasoft Tech,53.65,21.97,21.6,13.51,18.95,145,140,159.35,9.9
44,2024-07-10,Bansal Wire Industries Ltd.,745,146.1,51.5,13.6,59.6,256,356,350.4,36.9
134,2023-06-16,IKIO Lighting Ltd.,607,163.6,63.4,13.9,66.3,285,392.5,403.9,41.7
272,2019-07-04,IndiaMART InterMESH Ltd.,475.6,30.8,62.1,14.1,36.2,973,1180,1302.5,33.9
413,2011-06-22,Timbor Home,23.25,0.65,3.22,14.22,5.78,63,72,91.2,44.76
1,2024-12-19,Inventurus Knowledge Solutions Ltd.,2497.9,80.6,23.3,14.6,52.7,1329,1900,1960.8,47.5
222,2021-08-06,Glenmark Life Sciences Ltd.,1513.6,37,122.5,14.6,44.2,720,752,748.2,3.9
123,2023-08-29,Pyramid Technoplast Ltd.,153.1,9.9,32.2,14.7,18.3,166,185,175.8,5.9
268,2019-10-14,Indian Railway Catering & Tourism Corporation Ltd.,645.1,108.8,354.5,14.8,111.9,320,644,728.6,127.7
138,2023-04-03,Udayshivakumar Infra Ltd.,66,42.9,64.1,14.9,32.5,35,30,31.5,-10
87,2023-12-27,Happy Forgings Ltd.,1008.6,220.5,62.2,15.1,82,850,1000,1030.8,21.3
192,2021-12-21,C.E. Info Systems Ltd.,1039.6,196.4,424.7,15.2,154.7,1033,1581,1394.5,35
91,2023-12-21,Inox India Ltd.,1459.3,147.8,53.2,15.3,61.3,660,949.6,940,42.4
327,2017-04-05,Shankara Buildi,232.96,51.62,90.68,15.35,41.88,460,545,632.8,37.57
283,2018-07-02,RITES,453.6,71.72,194.56,15.74,67.24,185,190,170.16,-8.02
273,2019-05-08,Neogen Chemicals Ltd.,132.3,30.5,113.9,15.9,41.1,215,251,263.6,22.6
248,2021-02-02,Indigo Paints Ltd.,1176,189.6,263.1,15.9,117,1490,2607.5,3118.7,109.3
107,2023-10-06,Valiant Laboratories Ltd.,152.5,20.8,73.6,16.1,29.8,140,162.2,170.3,21.6
96,2023-11-30,Tata Technologies Ltd.,3042.5,203.4,62.1,16.5,69.4,500,1200,1313,162.6
250,2021-01-01,Antony Waste Handling Cell Ltd.,300,9.7,18.7,16.6,15,315,430,407.3,29.3
25,2024-09-17,P N Gadgil Jewellers Ltd.,1100,136.8,56.1,16.6,59.4,480,830,793.3,65.3
243,2021-02-26,RailTel Corporation of India Ltd.,819.2,65.1,73.3,16.8,42.4,94,109,121.4,29.1
101,2023-11-10,ESAF Small Finance Bank Ltd.,463,173.5,84.4,17,73.2,60,71,69,15.1
83,2023-12-29,Innova Captab Ltd.,570,116.7,65,17.1,55.3,448,452.1,541.4,20.9
64,2024-03-13,J G Chemicals Ltd.,251.2,32.1,46.3,17.4,27.8,221,209,184.8,-16.4
310,2017-09-25,Capacite Infra,400,131.32,638.05,17.57,183.03,250,360,342.4,36.96
163,2022-09-26,Harsha Engineers International Ltd.,755,178.3,71.3,17.6,74.7,330,450,486.5,47.4
311,2017-09-21,Matrimony.com,501.07,1.88,0.41,18.16,4.44,985,985,901.2,-8.51
480,2010-03-03,ARSS Infra,103,49.34,124.53,18.55,47.62,450,640,736.3,63.62
316,2017-08-10,SIS,362.25,5.64,1.65,18.67,6.92,815,875,378.35,-53.58
171,2022-05-24,Venus Pipes & Tubes Ltd.,165.4,12,15.7,19,16.3,326,337.5,354.4,8.7
128,2023-07-27,Netweb Technologies India Ltd.,631,228.9,81.8,19.1,90.4,500,947,910.4,82.1
35,2024-08-26,Interarch Building Products Ltd.,600.3,205.4,128.4,19.1,93.5,900,1299,1195.7,32.9
47,2024-06-28,Stanley Lifestyles Ltd.,537,222.1,119.5,19.2,97,369,494.9,474.8,28.7
476,2010-03-29,DQ Entertain,128.38,93.86,272.88,19.45,86.33,80,135,108.55,35.69
160,2022-10-17,Electronics Mart India Ltd.,500,169.5,63.6,19.7,71.9,59,90,84.5,43.2
32,2024-09-04,Ecos (India) Mobility & Hospitality Ltd.,601.2,136.8,71.2,19.8,64.3,334,390,443.1,32.7
86,2023-12-27,Credo Brands Marketing Ltd.,549.8,105,55.5,19.9,51.9,280,282.4,312.2,11.5
238,2021-03-25,Laxmi Organic Industries Ltd.,600,175.4,217.6,20.1,106.8,130,173,164.6,26.6
424,2011-03-24,Lovable Lingeri,93.28,21.87,99.87,20.84,35.21,205,261.5,249.2,21.56
41,2024-08-06,Akums Drugs and Pharmaceuticals Ltd.,1856.7,90.1,42.2,21.3,63.6,679,725,796.3,17.3
27,2024-09-16,Tolins Tyres Ltd.,230,25.4,27.4,21.5,23.9,226,228,239.4,5.9
149,2022-12-08,Dharmaj Crop Guard Ltd.,251.2,48.2,52.3,21.5,35.5,237,266.1,266.3,12.4
473,2010-04-06,Persistent,168.01,144.43,107.73,21.69,93.6,310,400,204,-34.19
189,2021-12-24,Data Patterns (India) Ltd.,588.2,190.9,254.2,23.1,119.6,585,864,754.9,29
49,2024-06-26,DEE Development Engineers Ltd.,418,201.9,144,23.4,99.6,203,325,335,65
84,2023-12-28,Azad Engineering Ltd.,740,179.7,87.6,23.8,80.7,524,720,677.5,29.3
320,2017-06-30,CDSL,523.99,148.71,563.03,23.83,170.16,149,250,261.6,75.57
394,2012-03-09,MCX India,663.31,49.12,150.35,24.14,54.13,1032,1387,1297.05,25.68
217,2021-08-17,Windlas Biotech Ltd.,401.5,24.4,15.7,24.2,22.4,460,439,406.7,-11.6
42,2024-07-26,Sanstar Ltd.,510.1,145.7,136.5,24.2,83,95,109,115.1,21.1
6,2024-11-29,Enviro Infra Engineers Ltd.,650.4,157.1,153.8,24.5,89.9,148,220,207.1,39.9
221,2021-08-09,Rolex Rings Ltd.,731,143.6,360.1,24.5,130.4,900,1249,1166.5,29.6
85,2023-12-27,RBZ Jewellers Ltd.,100,13.4,9.3,24.7,16.9,100,100,105,5
54,2024-05-15,TBO Tek Ltd.,1550.8,125.5,50.6,25.7,86.7,920,1426,1406.3,52.9
24,2024-09-24,Western Carriers (India) Ltd.,492.9,28,44.7,25.9,30.6,172,171,159.4,-7.3
246,2021-02-05,Stove Kraft Ltd.,413,8,32.7,26,18,385,498,445.9,15.8
82,2024-01-16,Jyoti CNC Automation Ltd.,1000,44.1,36.5,26.2,38.5,331,370,434.2,31.2
241,2021-03-15,MTAR Technologies Ltd.,596,165,650.8,28.4,200.8,575,990,1082.3,88.2
95,2023-11-30,Gandhar Oil Refinery (India) Ltd.,500.7,129,62.2,28.9,64.1,169,298,301.4,78.3
251,2020-12-24,Mrs. Bectors Food Specialities Ltd.,540.5,176.8,620.9,29.3,198,288,501,595.5,106.8
196,2021-12-13,Tega Industries Ltd.,619.2,215.4,666.2,29.4,219,453,753,725.5,60.1
116,2023-09-21,EMS Ltd.,321.2,153,82.3,29.8,75.3,211,282.1,279.9,32.6
77,2024-02-12,Apeejay Surrendra Park Hotels Ltd.,920,75.1,52.4,30.4,59.7,155,186,203.6,31.3
23,2024-09-24,Northern Arc Capital Ltd.,777,240.8,142.4,31.1,110.9,263,350,323.4,23
346,2016-07-12,Quess Corp,400,59.02,392.21,31.23,143.99,317,500,503,58.68
452,2010-10-06,Career Point,115,47.45,101.93,31.74,47.39,310,461,632.35,103.98
121,2023-09-05,Vishnu Prakash R Punglia Ltd.,308.9,171.7,111,32,87.8,99,165,145.7,47.2
433,2010-12-15,MOIL,1260,49.16,143.3,32.86,56.43,375,551,233.25,-37.8
29,2024-09-12,Shree Tirupati Balajee Agro Trading Company Ltd.,169.7,60.8,102.3,33,55.8,83,90,94.5,13.9
65,2024-03-12,R K Swamy Ltd.,423.6,20.6,34.4,34,25.9,288,250,262.6,-8.8
122,2023-08-31,Aeroflex Industries Ltd.,351,194.7,126.1,34.4,97.1,108,190,163.3,51.2
223,2021-07-29,Tatva Chintan Pharma Chem Ltd.,500,185.2,512.2,35.4,180.4,1083,2111.8,2310.3,113.3
256,2020-10-12,Mazagon Dock Shipbuilders Ltd.,443.7,89.7,678.9,35.6,157.4,145,216.3,173,19.3
435,2010-11-16,Gravita India,45,6.04,182.52,37.34,42.88,125,218.75,42.08,-66.34
219,2021-08-16,Devyani International Ltd.,1838,95.3,213.1,39.5,116.7,90,141,123.3,37.1
141,2023-01-12,Sah Polymers Ltd.,66.3,2.4,32.7,39.8,17.5,65,85,89.3,37.3
16,2024-10-28,Deepak Builders & Engineers India Ltd.,260,13.9,82.5,39.8,41.5,203,200,161.9,-20.2
218,2021-08-16,Exxaro Tiles Ltd.,161.1,17.7,5.4,40,22.6,120,126,132.3,10.2
296,2018-01-22,Apollo Micro Sy,156,101.93,958.07,40.19,248.51,275,478,454.1,65.13
259,2020-10-01,Chemcon Speciality Chemicals Ltd.,318,113.5,449.1,41.1,149.3,340,731,584.8,72
380,2014-09-12,Snowman Logist,197.4,16.98,221.79,41.26,59.75,47,75,78.75,67.55
220,2021-08-16,Krsnaa Diagnostics Ltd.,1213.3,49.8,116.3,42,64.4,954,1025,990.8,3.9
165,2022-09-06,Dreamfolks Services Ltd.,562.1,70.5,37.7,43.6,56.7,326,508.7,462.4,41.8
266,2019-12-04,CSB Bank Ltd.,409.7,62.2,164.7,44.5,86.9,195,275,300.1,53.9
48,2024-06-26,Akme Fintrade (India) Ltd.,132,28.1,130.3,45.8,55.1,120,127,133.3,11.1
60,2024-04-03,SRM Contractors Ltd.,130.2,59.6,214.9,47,86.6,210,215.3,226,7.6
265,2019-12-12,Ujjivan Small Finance Bank Ltd.,750,110.7,473,49,165.7,37,58.8,55.9,51.1
131,2023-07-10,Cyient DLM Ltd.,592,90.4,45,49.2,67.3,265,403,420.6,58.7
198,2021-11-30,Go Fashion (India) Ltd.,1013.6,100.7,262.1,49.7,135.5,690,1310,1253.7,81.7
68,2024-03-05,Platinum Industries Ltd.,235.3,151,141.8,51,99,171,225,221.2,29.4
22,2024-09-24,Arkade Developers Ltd.,410,163.2,163,51.4,106.8,128,175,165.9,29.6
120,2023-09-11,Ratnaveer Precision Engineering Ltd.,165,133.1,135.2,54,94,98,123.2,129.3,32
52,2024-05-30,Awfis Space Solutions Ltd.,598.9,117,129.8,54.6,108.6,383,435,421.8,10.1
50,2024-06-18,LE Travenues Technology Ltd.,740.1,106.7,110.5,54.7,98.3,93,138.1,165.7,78.2
45,2024-07-03,Vraj Iron & Steel Ltd.,171,163.9,208.8,54.9,119,207,240,252,21.7
161,2022-10-13,Vedant Asset Ltd.,3,,43,55.2,48.6,40,71.7,64.8,62.1
51,2024-06-10,Kronox Lab Sciences Ltd.,130.2,89,303,55.7,118.2,136,164.9,159.3,17.1
187,2021-12-28,Supriya Lifescience Ltd.,700,31.8,161.2,56,71.5,274,425,390.4,42.5
67,2024-03-07,Mukka Proteins Ltd.,224,189.3,250.4,58.5,137,28,40,42.3,50.9
317,2017-07-25,Salasar Techno,35.87,0,487.18,58.59,277.28,108,259.45,272.1,151.94
36,2024-08-20,Saraswati Saree Depot Ltd,160,64.1,358.5,61.6,107.4,160,194,203.7,27.3
158,2022-11-11,DCX Systems Ltd.,500,84.3,44,61.7,69.8,207,287,308.4,49
34,2024-08-28,Orient Technologies Ltd.,214.8,189.9,300.6,66.8,151.7,206,288,302.4,46.8
252,2020-12-14,Burger King India Ltd.,810,86.6,354.1,68.2,156.7,60,115.3,138.4,130.7
93,2023-12-20,DOMS Industries Ltd.,1200,116,66.5,69.7,93.5,790,1400,1326,67.8
240,2021-03-19,Easy Trip Planners Ltd.,510,77.5,382.2,70.4,159.3,187,182,208.3,11.4
261,2020-09-17,Happiest Minds Technologies Ltd.,702,77.4,351.5,70.9,151,166,351,371,123.5
129,2023-07-21,Utkarsh Small Finance Bank Ltd.,500,124.8,81.6,72.1,101.9,25,40,48,92
234,2021-03-30,Nazara Technologies Ltd.,582.9,103.8,389.9,75.3,175.5,1101,1971,1576.8,43.2
79,2024-01-31,Nova Agritech Ltd.,143.8,79.3,224.1,77.1,109.4,41,55,57.8,40.9
297,2017-12-29,Astron Paper &,70,103.35,396.99,77.93,243.29,50,120.75,119.7,139.4
203,2021-11-15,Sigachi Industries Ltd.,125.4,86.5,172.4,80.5,101.9,163,575,603.8,270.4
188,2021-12-27,HP Adhesives Ltd.,126,1.8,19,81.2,21,274,319,334.9,22.2
132,2023-07-07,ideaForge Technology Ltd.,567,125.8,80.6,85.2,106,672,1300,1295,92.7
19,2024-10-04,Diffusion Engineers Ltd.,158,95.7,207.6,85.6,114.5,168,193.5,203.2,20.9
30,2024-09-09,Gala Precision Engineering Ltd.,167.9,232.5,414.6,92,201.4,529,721.1,757.1,43.1
20,2024-10-03,KRN Heat Exchanger and Refrigeration Ltd.,341.5,253,431.6,98.3,214.4,220,480,478.8,117.6
209,2021-10-01,Paras Defence and Space Technologies Ltd.,170.8,169.7,927.7,112.8,304.3,175,475,498.8,185
200,2021-11-23,Latent View Analytics Ltd.,600,145.5,850.7,119.4,326.5,197,530,488.6,148
69,2024-03-05,Exicom Tele-Systems Ltd.,424.1,121.8,153.2,119.6,129.5,142,265,224.9,58.4
88,2023-12-26,Motisons Jewellers Ltd.,151.1,157.4,233.9,122.3,159.6,55,109,103.5,88.3
37,2024-08-13,Unicommerce eSolutions Ltd.,276.6,138.8,252.5,131,168.3,108,235,210.1,94.5
2,2024-12-18,One MobiKwik Systems Ltd.,572,119.5,109,134.7,119.4,279,440,528,89.3
21,2024-09-30,Manba Finance Ltd.,150.8,148.6,511.6,144,224.1,120,145,157.4,31.2
244,2021-02-26,Nureca Ltd.,100,3.1,31.6,166.7,39.9,400,635,666.6,66.7
72,2024-02-20,Vibhor Steel Tubes Ltd.,72.2,178.7,721.3,188.2,298.9,151,425,446.3,195.5
78,2024-02-06,BLS E-Services Ltd.,310.9,123.3,300.1,237,162.5,135,305,366,171.1
106,2023-10-12,Plaza Wires Ltd.,71.3,42.8,388.1,374.8,161,54,76,80.2,48.5
135,2023-05-19,Nexus Select Trust REIT,3200,1.9,6.2,,3,100,103,104.3,4.3
66,2024-03-12,Bharat Highways InvIT,2500,8.9,6.9,,8,100,101.1,103,3
245,2021-02-17,Brookfield India Real Estate Trust,3800,4.8,11.5,,7.9,275,281.7,268.9,-2.2
