,Date,IPO_Name,Issue Size,Subscription_QIB,Subscription_HNI,Subscription_RII,Total_Subscription,Issue Price,Listing Open,Listing Close,Listing Gain Percent
415,2011-05-27,Dr Datson Labs,120,0.14,2.65,1.84,1.11,234,218,311.25,33.01
264,2019-12-30,Prince Pipes & Fittings Ltd.,500,3.5,1.2,1.9,2.2,178,160,166.6,-6.4
418,2011-05-12,Servalakshmi,60,0.34,4.21,1.9,1.47,29,30,19,-34.48
359,2015-11-16,S H Kelkar,200,25.55,87.38,1.98,27,180,216,207.3,15.17
174,2022-05-17,Life Insurance Corporation,21000,2.8,2.9,2,3,949,872,875.3,-7.8
355,2016-02-08,Precision Camsh,410,2.62,0.73,2.01,1.91,186,165,177.25,-4.7
387,2012-12-06,Tara Jewels,0,1.49,3.1,2.05,1.98,230,242,229.95,-0.02
352,2016-04-01,Bharat Wire Rop,70,1.01,2.02,2.08,1.21,45,47.25,45.4,0.89
254,2020-11-02,Equitas Small Finance Bank Ltd.,517.6,3.9,0.2,2.1,1.9,33,31,32.8,-0.8
111,2023-09-28,Yatra Online Ltd.,775,2,0.4,2.1,1.6,142,127.5,135.9,-4.3
186,2021-12-31,CMS Info Systems Ltd.,1100,2,1.4,2.1,1.9,216,242.9,237.4,9.9
117,2023-09-20,R R Kabel Ltd.,1964,52.3,13.2,2.1,18.7,1035,1180,1198,15.8
348,2016-05-19,Parag Milk Food,764.3,1.15,3.08,2.12,1.83,215,230,247.8,15.26
374,2015-04-09,Inox Wind,700,35.68,35.38,2.15,18.6,325,400,438,34.77
391,2012-04-12,MT Educare,99,6.01,8,2.17,4.8,80,86.05,90.35,12.94
275,2019-04-15,Metropolis Healthcare Ltd.,1204.3,8.9,3,2.2,5.8,880,960,959.5,9
143,2022-12-30,Elin Electronics Ltd.,475,4.5,3.3,2.2,3.1,247,244,227.7,-7.8
104,2023-11-01,Blue Jet Healthcare Ltd,840.3,13.7,13.6,2.2,8,346,380,413.3,19.4
485,2010-02-19,Thangamayil,0,0.52,1.52,2.26,1.12,75,70,71.1,-5.2
425,2011-03-11,Sudar Ind,69.98,0.17,4.47,2.27,1.55,77,74,113.1,46.88
255,2020-10-12,UTI Asset Management Company Ltd.,2159.9,3.3,0.9,2.3,2.3,554,476.2,476.6,-14
214,2021-08-24,Chemplast Sanmar Ltd.,3850,2.7,1,2.3,2.2,541,570,534.9,-1.1
38,2024-08-13,Brainbees Solutions Ltd.,4193.7,19.3,4.7,2.3,12.2,465,651,679.1,46
4,2024-12-18,Vishal Mega Mart Ltd.,8000,80.8,14.2,2.3,27.3,78,104,111.9,43.5
436,2010-11-04,Coal India,15475,24.7,25.4,2.31,15.28,245,300,342.35,39.73
400,2011-10-17,Onelife Capital,36.85,1.02,0.93,2.32,1.51,110,115,145.9,32.64
301,2017-11-14,Khadim India,493.06,2.45,0.18,2.34,1.9,750,727,688.5,-8.2
397,2011-10-20,Ujaas Energy,93,1.03,1.56,2.35,1.57,186,180,31.76,-82.92
343,2016-08-11,Dilip Buildcon,430,9.76,79.64,2.35,20.95,219,240,251.95,15.05
70,2024-02-29,GPT Healthcare Ltd.,525.1,17.3,11,2.4,8.5,186,215,200.7,7.9
76,2024-02-14,Capital Small Finance Bank Ltd.,523.1,6.6,4,2.5,4,468,430.3,435,-7
55,2024-05-15,Aadhar Housing Finance Ltd.,3000,72.8,16.5,2.5,25.5,315,315,329.4,4.6
263,2020-03-16,SBI Cards and Payment Services Ltd.,10354.8,57.2,45.2,2.5,26.5,755,658,683.2,-9.5
168,2022-06-01,eMudhra Ltd.,412.8,4,1.3,2.6,2.7,256,270,257.9,0.7
279,2019-02-04,Xelpmoc Design and Tech Ltd.,23,1.2,7.7,2.6,3.3,66,56,59.9,-9.3
305,2017-10-23,IEX,1000.7,2.56,0.85,2.61,2.28,1650,1500,162.65,-90.14
446,2010-10-12,Cantabil Retail,105,1.71,3.83,2.63,2.35,135,133.8,104.75,-22.41
9,2024-11-14,Niva Bupa Health Insurance Company Ltd.,2200,2.1,0.7,2.7,1.8,74,78.1,74,0
467,2010-05-18,Tarapur Trans,63.75,0.03,5.08,2.74,1.74,75,75,56.9,-24.13
406,2011-08-26,Tree House,112.06,1.02,1.68,2.76,1.85,135,132.8,116.55,-13.67
236,2021-03-26,Kalyan Jewellers India Ltd.,1175,2.8,1.9,2.8,2.6,87,73.9,75.3,-13.4
59,2024-04-12,Bharti Hexacom Ltd.,4275,48.6,10.5,2.8,29.9,570,755,813.3,42.7
216,2021-08-20,CarTrade Tech Ltd.,2998.5,35.5,41,2.8,20.3,1618,1600,1500.1,-7.3
466,2010-05-19,GB Global,107.9,7.97,10.52,2.81,6.32,130,131,133.65,2.81
459,2010-08-16,Bharat Fin,1653.97,20.38,18.26,2.81,13.69,985,1036,1088.58,10.52
276,2019-04-11,Rail Vikas Nigam Ltd.,481.6,1.4,0.8,2.9,1.8,19,19,19.1,0.3
228,2021-07-05,Krishna Institute of Medical Sciences Ltd.,2143.7,5.3,1.9,2.9,3.9,825,1009,1096.8,33
416,2011-05-23,Sanghvi Forging,36.9,0,1.82,2.93,1.3,85,88,111.75,31.47
299,2017-12-15,Shalby,504.8,4.34,0.42,2.98,2.82,248,237,239.25,-3.53
277,2019-03-29,MSTC Ltd.,212,1.1,2.1,3,1.5,128,111,114.2,-10.8
484,2010-02-23,Aqua Logistics,150,0.26,5.07,3,1.94,220,225,24.46,-88.88
291,2018-03-09,HG Infra Engg,457.7,8.37,4.97,3.08,4.98,270,270,270.05,0.02
322,2017-06-27,Tejas Networks,326.69,2.16,0.48,3.1,1.88,257,257.7,263.3,2.45
10,2024-11-13,ACME Solar Holdings Ltd.,2900,3.5,1,3.1,2.8,289,251,253.2,-12.4
235,2021-03-26,Suryoday Small Finance Bank Ltd.,582.3,2.2,1.3,3.1,2.4,305,274.8,276.2,-9.4
210,2021-09-24,Sansera Engineering Ltd.,1283,26.5,11.4,3.1,11.5,744,845,818.7,10
103,2023-11-06,Cello World Ltd.,1900,108.6,24.4,3.1,38.9,648,829,791.7,22.2
185,2022-01-31,AGS Transact Technologies Ltd.,680,2.7,25.6,3.1,7.8,175,176,161.3,-7.8
465,2010-05-20,SJVN,1079,9.03,3.39,3.12,6.64,26,27.1,25.05,-3.65
358,2015-12-23,Alkem Lab,1349.6,57.19,129.96,3.17,44.29,1050,1380,1381.45,31.57
208,2021-10-11,Aditya Birla Sun Life AMC Ltd.,2768.3,10.4,4.4,3.2,5.3,712,697.5,699.6,-1.7
81,2024-01-23,Medi Assist Healthcare Services Ltd.,1171.6,40.1,14.8,3.2,16.3,418,460,464.1,11
298,2017-12-18,Future Supply,649.69,12.36,11.15,3.28,7.56,664,674,685.8,3.28
205,2021-11-15,PB Fintech Ltd.,5625,24.9,7.8,3.3,16.6,980,1444,1202.9,22.7
61,2024-03-21,Krystal Integrated Services Ltd.,300.1,7.3,43.9,3.3,13.2,715,785,712.9,-0.3
395,2011-11-02,Indo Thai Secu,33.6,0,0.02,3.31,1.16,74,76,23,-68.92
337,2016-10-04,HPL Electric &,361,5.77,22.2,3.31,8.06,202,190,189.05,-6.41
405,2011-09-05,Brooks Labs,63,0,2.82,3.36,1.6,100,110,50.2,-49.8
7,2024-11-27,NTPC Green Energy Ltd.,10000,3.3,0.8,3.4,2.4,108,111.5,121.7,12.6
392,2012-04-12,NBCC (India),127.2,7.07,1.7,3.4,4.93,106,100,6.47,-93.9
237,2021-03-25,Craftsman Automation Ltd.,823.7,5.2,2.8,3.4,3.8,1490,1440,1433,-3.8
